column,dtype,non_null,missing,missing_pct,n_unique,examples,min,q25,median,mean,q75,max,std
ISO3,object,21,0,0.0,2,"#country+code, ZAF",,,,,,,
DataId,object,21,0,0.0,21,"#meta+id, 563770, 563771",,,,,,,
Indicator,object,21,0,0.0,21,"#indicator+name, Women with secondary or higher, Women who can read a whole sen",,,,,,,
Value,object,21,0,0.0,18,"#indicator+value+num, 11.8, 76.2",,,,,,,
Precision,object,21,0,0.0,3,"#indicator+precision, 1, 0",,,,,,,
DHS_CountryCode,object,20,1,4.76,1,ZA,,,,,,,
CountryName,object,21,0,0.0,2,"#country+name, South Africa",,,,,,,
SurveyYear,object,21,0,0.0,2,"#date+year, 2016",,,,,,,
SurveyId,object,21,0,0.0,2,"#survey+id, ZA2016DHS",,,,,,,
IndicatorId,object,21,0,0.0,21,"#indicator+code, ED_LITR_W_SCH, ED_LITR_W_RDW",,,,,,,
IndicatorOrder,float64,20,1,4.76,20,"231233010.0, 231233020.0, 231233030.0",231233010.0,231233057.5,231233615.0,231233614.0,231234162.5,231234220.0,555.9802154753351
IndicatorType,object,20,1,4.76,4,"I, T, D",,,,,,,
CharacteristicId,float64,20,1,4.76,1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0
CharacteristicOrder,float64,20,1,4.76,1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0
CharacteristicCategory,object,20,1,4.76,1,Total 15-49,,,,,,,
CharacteristicLabel,object,20,1,4.76,1,Total 15-49,,,,,,,
ByVariableId,object,21,0,0.0,2,"#indicator+label+code, 0",,,,,,,
ByVariableLabel,object,1,20,95.24,1,#indicator+label,,,,,,,
IsTotal,float64,20,1,4.76,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
IsPreferred,float64,20,1,4.76,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
SDRID,object,20,1,4.76,20,"EDLITRWSCH, EDLITRWRDW, EDLITRWRDP",,,,,,,
RegionId,float64,0,21,100.0,0,,,,,,,,
SurveyYearLabel,float64,20,1,4.76,1,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,0.0
SurveyType,object,20,1,4.76,1,DHS,,,,,,,
DenominatorWeighted,float64,18,3,14.29,2,"8514.0, 3202.0",3202.0,3202.0,5858.0,5858.0,8514.0,8514.0,2656.0
DenominatorUnweighted,float64,18,3,14.29,2,"11805.0, 3179.0",3179.0,3179.0,7492.0,7492.0,11805.0,11805.0,4313.0
CILow,float64,0,21,100.0,0,,,,,,,,
CIHigh,float64,0,21,100.0,0,,,,,,,,
LevelRank,float64,0,21,100.0,0,,,,,,,,
