field,field_type,datasets_present,avg_missing_rate,avg_unique_rate,avg_outlier_rate,avg_cv,avg_skewness,high_cardinality_issues
ci_high,categorical,10,1,NA,NA,NA,NA,0
ci_low,categorical,10,1,NA,NA,NA,NA,0
level_rank,categorical,13,1,NA,NA,NA,NA,0
region_id,categorical,13,1,NA,NA,NA,NA,0
by_variable_label,categorical,13,0.7434343640444436,0.09697293733452833,NA,NA,NA,0
characteristic_category,categorical,13,0,0.04162323905800488,NA,NA,NA,0
characteristic_label,categorical,13,0,0.04162323905800488,NA,NA,NA,0
country_name,categorical,13,0,0.025744265576639634,NA,NA,NA,0
dhs_country_code,categorical,13,0,0.025744265576639634,NA,NA,NA,0
indicator,categorical,13,0,0.5611608636674524,NA,NA,NA,2
indicator_id,categorical,13,0,0.6010421856878744,NA,NA,NA,3
indicator_type,categorical,13,0,0.07937086785284149,NA,NA,NA,0
iso3,categorical,13,0,0.025744265576639634,NA,NA,NA,0
sdrid,categorical,13,0,0.6010421856878744,NA,NA,NA,3
survey_id,categorical,13,0,0.04556337522812334,NA,NA,NA,0
survey_type,categorical,13,0,0.025744265576639634,NA,NA,NA,0
ci_high,numeric,3,0.6126373626373626,0.8095238095238095,0.07142857142857142,0.8831049322019708,0.9832420598487346,0
ci_low,numeric,3,0.6126373626373626,0.8428571428571429,0.047619047619047616,0.7809608528688851,1.031945536186844,0
denominator_weighted,numeric,13,0.2666550510946282,0.34496832992405546,0.04017025072497894,0.6190459454982212,0.6870943610159955,0
denominator_unweighted,numeric,13,0.25135114596021463,0.2955227240283379,0.04460993799229093,0.6190943139841716,0.6969909734875734,0
by_variable_id,numeric,13,0,0.042110869794702736,0.0051156535771920385,1.4668011088710335,2.254569790395288,0
characteristic_id,numeric,13,0,0.04162323905800488,0.013313609467455622,0.5478357472459966,0.44100399814205,0
characteristic_order,numeric,13,0,0.04162323905800488,0.03254437869822485,1.1759248331070709,0.5823683634375451,0
data_id,numeric,13,0,1,0.007692307692307693,0.5567217427835863,0.48912357765230663,0
indicator_order,numeric,13,0,0.6010421856878744,0.041681169509223806,0.059640004315279035,0.5680681000087124,0
is_preferred,numeric,13,0,0.033048062575396844,0.03550295857988166,0.2995091035140589,0.7972932303857057,0
is_total,numeric,13,0,0.025744265576639634,0,0,NA,0
precision,numeric,13,0,0.05339495805970618,0.10704010330249247,0.6601308075092419,1.866106001299571,0
survey_year,numeric,13,0,0.04556337522812334,0.01108213820078227,0.0036865510261465846,0.4405219972401351,0
survey_year_label,numeric,13,0,0.04556337522812334,0.01108213820078227,0.0036865510261465846,0.4405219972401351,0
value,numeric,13,0,0.8581073818991659,0.11780672486562371,1.9967181845299824,2.3854915581156853,0
