indicator_order,characteristic_id,characteristic_order,is_total,is_preferred,survey_year_label,denominator_weighted,denominator_unweighted,ci_low,ci_high
1,0.6140779256632204,0.6140779256632204,NA,0.038972621415159725,0.16602046825242753,0.631531831448725,0.6858610679547411,-0.0772445616515468,-0.06812594804311342
0.6140779256632204,1,1,NA,0.10754475906448831,0.2636371929462334,0.3806459084425008,0.4486330196643702,-0.15479077367664273,-0.12635923639098864
0.6140779256632204,1,1,NA,0.10754475906448831,0.2636371929462334,0.3806459084425008,0.4486330196643702,-0.15479077367664273,-0.12635923639098864
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.038972621415159725,0.10754475906448831,0.10754475906448831,NA,1,0.0610201530693093,0.17988831149122805,0.17401316850891518,0.0821351957627076,0.10299478306012025
0.16602046825242753,0.2636371929462334,0.2636371929462334,NA,0.0610201530693093,1,-0.1154444339658938,-0.06602917565622575,0.09472960931967957,0.11461905729905256
0.631531831448725,0.3806459084425008,0.3806459084425008,NA,0.17988831149122805,-0.1154444339658938,1,0.9783295106772565,-0.036397723483840946,-0.039972024450448035
0.6858610679547411,0.4486330196643702,0.4486330196643702,NA,0.17401316850891518,-0.06602917565622575,0.9783295106772565,1,-0.048980923515724514,-0.05340754784375875
-0.0772445616515468,-0.15479077367664273,-0.15479077367664273,NA,0.0821351957627076,0.09472960931967957,-0.036397723483840946,-0.048980923515724514,1,0.9957943614801881
-0.06812594804311342,-0.12635923639098864,-0.12635923639098864,NA,0.10299478306012025,0.11461905729905256,-0.039972024450448035,-0.05340754784375875,0.9957943614801881,1
