attributes,importance
iso3,0.15841057013179105
data_id,3.2958368660043296
indicator,2.0122309760785035
precision,0.8000120331977754
dhs_country_code,0
country_name,0.15841057013179105
survey_year,0.8230338137054543
survey_id,0.8230338137054543
indicator_id,2.0122309760785035
indicator_order,1.9195638606084695
indicator_type,1.0866549153502754
characteristic_id,0
characteristic_order,0
characteristic_category,0
characteristic_label,0
by_variable_id,0.8258856328932196
by_variable_label,0.8258856328932196
is_total,0
is_preferred,0.6924611526112328
sdrid,1.9195638606084695
survey_year_label,0.6869615765973234
survey_type,0
denominator_weighted,1.6126823851573007
denominator_unweighted,1.6126823851573007
